Yahoo Symbol,Company Name,BSE Code
SANOFI.NS,Sanofi India Ltd,500674
PFIZER.NS,Pfizer Ltd,500680
GSFC.NS,Gujarat State Fertilizers & Chemicals Ltd,500690
HINDUNILVR.NS,Hindustan Unilever Ltd,500696
AKZOINDIA.NS,Akzo Nobel India Ltd,500710
NOCIL.NS,NOCIL Ltd,500730
TATACHEM.NS,Tata Chemicals Ltd,500770
500777.BO,Tamilnadu Petroproducts Ltd,500777
ZUARIIND.NS,Zuari Industries Ltd,500780
NESTLEIND.NS,Nestle India Ltd,500790
TATACONSUM.NS,Tata Consumer Products Ltd,500800
ASIANPAINT.NS,Asian Paints Ltd,500820
BRITANNIA.NS,Britannia Industries Ltd,500825
COLPAL.NS,Colgate Palmolive (India) Ltd,500830
EIHOTEL.NS,EIH Ltd,500840
500850.BO,Indian Hotels Company Ltd,500850
CASTROLIND.NS,Castrol India Ltd,500870
ITC.NS,ITC Ltd,500875
APOLLOTYRE.NS,Apollo Tyres Ltd,500877
CEATLTD.NS,Ceat Ltd,500878
500890.BO,Modi Rubber Ltd,500890
FINPIPE.NS,Finolex Industries Ltd,500940
501110.BO,Sunrise Industrial Traders Ltd,501110
501111.BO,Gold Rock Investments Ltd,501111
501148.BO,Dalal Street Investments Ltd,501148
501150.BO,Centrum Capital Ltd,501150
501242.BO,TCI Finance Ltd,501242
501261.BO,Lords Mark India Ltd,501261
501270.BO,Antariksh Industries Ltd,501270
501295.BO,Industrial Investment Trust Ltd,501295
501298.BO,Industrial & Prudential Investment Company Ltd,501298
TATAINVEST.NS,Tata Investment Corporation Ltd,501301
501311.BO,Jayabharat Credit Ltd,501311
501314.BO,Prismx Global Ventures Ltd,501314
501343.BO,Motor & General Finance Ltd,501343
501351.BO,Rapid Investments Ltd,501351
501370.BO,Walchand Peoplefirst Ltd,501370
501386.BO,Swastik Safe Deposit & Investments Ltd,501386
501391.BO,WH Brady & Company Ltd,501391
501421.BO,TechNVision Ventures Ltd,501421
SHAILY.NS,Shaily Engineering Plastics Ltd,501423
BBTC.NS,Bombay Burmah Trading Corporation Ltd,501425
501430.BO,Bombay Cycle & Motor Agency Ltd,501430
GREAVESCOT.NS,Greaves Cotton Ltd,501455
501477.BO,Muller & Phipps India Ltd,501477
501479.BO,Springform Technology Ltd,501479
501622.BO,Amalgamated Electricity Company Ltd,501622
501630.BO,Anand Projects Ltd,501630
501700.BO,IndiaNivesh Ltd,501700
COASTCORP.NS,Coastal Corporation Ltd,501831
